"globalid","bv_7gr_gi","bv_7jb_ba","bv_7jb_bt","bv_7jb_si","bv_7tk","bv_7se","bv_ad_te","bv_km_bt","bv_km_tk","bv_km_se"
"{A73F2F63-EE2B-4324-997C-709AC388E939}","","7JB-BA_1","7JB-BT_1","7JB-SI_1","","",NA,"7KM-BT_0","",""
"{1DEFA240-8B45-495C-9E5B-335FA5D6B2CE}","","7JB-BA_1","7JB-BT_1","7JB-SI_1","","",NA,"7KM-BT_0","",""
"{2E230B3C-EC04-4390-9A64-7D49FB28A6BA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{035D77F6-59BB-469F-B65E-E8970768E1AA}","","","",NA,"","",NA,NA,"",""
"{8FED0921-F856-4B1E-8CE8-21C987FC7AA6}",NA,"7JB-BA_3","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{3EB1D577-547D-4993-A524-8724FFE07CE6}","","","",NA,"","",NA,NA,"",""
"{1BEFEDA4-6409-4046-8306-DF3E3B194541}",NA,NA,"",NA,"","",NA,NA,"",""
"{D479ED88-098A-435C-BE92-1EB2610E017D}",NA,"7JB-BA_1","7JB-BT_1","7JB-SI_1","",NA,NA,"7KM-BT_0","",NA
"{7BF891D0-AEAA-45B2-BFAC-37D797E3D865}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{A76E1EB3-E801-44E5-BD2C-C5626DDBCD89}","","","7JB-BT_2",NA,"7TK_0","7SE_2",NA,"7KM-BT_1","KM-TK_0","KM-SE_2"
"{5ED999DE-262A-4DFE-B7F1-D17F0EADBDAA}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{2A5C0F5B-8CAA-40E6-8595-78E3211C6028}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{2C76CAB8-F958-4EBA-9C16-126A09980A75}","7GR-GI_2","7JB-BA_1",NA,NA,"7TK_0","7SE_0","AD-TE_a",NA,"KM-TK_0","KM-SE_0"
"{DED6DF95-D336-4D10-B8C0-8B37BE645DE8}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{80CC7686-FCA7-4A0B-BA65-7B969CF5295F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{ACECFAB9-7569-4381-8C5B-3B2886B8BD44}","","","7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{7FAACC98-3B13-4F3E-99B8-449D6F751802}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{D673E7D9-EE68-4767-994D-018855CA8686}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{7143C566-F0AC-4BE7-8D55-9919FCDDD011}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{EF38A930-4DD5-4891-833A-B6D3D94E2B5A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{262A9A04-2EAA-44C9-BBD0-FF16F13470FA}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{17B3CFF2-E3AB-4D9F-9E37-58D1999650A8}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{9C5972DB-9AD7-4147-84C6-3E981058D4CC}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{186CB656-F1FB-443B-964C-699EB573F973}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{409B6B98-8BB9-4266-8FC5-5C280B1661AC}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{B66A28FF-201B-43CB-916D-FFDACFE3A43C}","","","",NA,"","",NA,NA,"",""
"{56F85669-8145-414B-82B9-537E553AB5EF}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{E69D55C8-6519-40E6-80B3-9D8EE9BA10AB}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{AC5BF386-8AB8-4C3A-BDC1-3DE639A38DF4}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{9AC805EA-163C-4070-AB75-44D4DFBA4B37}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{5A3B48D7-3728-4505-A9D6-6CEB7E88E3BB}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{9020AAF6-42CD-472A-8E12-49A4A5703FDF}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{C76CB93B-F91E-4AC3-919F-C49BF0C5AF3C}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_1",NA,"7KM-BT_1","KM-TK_0","KM-SE_1"
"{DBED491C-CA5A-41CE-89B4-409D84F68672}","","","7JB-BT_1",NA,"7TK_1","7SE_0",NA,"7KM-BT_0","KM-TK_1","KM-SE_0"
"{6D95467D-AFBB-4615-BCF0-444D5B591573}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{25C6F50F-0027-4A77-94CC-47F0D8B7586C}","","","7JB-BT_2",NA,"7TK_0","7SE_1",NA,"7KM-BT_1","KM-TK_0","KM-SE_1"
"{57825235-0395-42C0-BC75-04C5A435FC72}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_1",NA,"7KM-BT_1","KM-TK_0","KM-SE_1"
"{80E2492B-5E48-41C3-8430-FF5AE4CB33EB}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{9A4548FA-8CA3-4E59-B819-1A8DD885F5AD}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{1CA2E84C-CEF4-43C9-A7E8-F9CBC9B67750}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{C851946F-A732-450D-8F73-758D4BDCF11F}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{4531F52C-DBF7-4A94-AB78-9A84B9A0AA64}",NA,NA,"",NA,"","",NA,NA,"",""
"{9AF08BF1-09FD-40BA-95FA-4CDE814CCEA2}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{85F2A071-1B08-4CB6-A827-75F9C1DC4E0D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{D4569BF2-BDB3-4E8A-8F34-A31DDE820FBF}","","","7JB-BT_1",NA,"7TK_3","7SE_0",NA,"7KM-BT_0","KM-TK_3","KM-SE_0"
"{53ACDE0A-E310-4ED4-B68D-B5CBDED4E3D1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{94F38974-C2B1-4C9C-B314-8812F4BA5EAF}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{DBE98422-2FD4-4CFE-8CDF-8FFCCF3615FF}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
