"globalid","kartleggingsenhet_1m2","ano_GT"
"{70476214-4C11-4AEA-8275-7E5B6F3DD915}",NA,NA
"{36BAE83E-F412-4C90-8B56-DE6B4225BB17}","V1-C-5","NA V1-22"
"{36BAE83E-F412-4C90-8B56-DE6B4225BB17}","V1-C-5","NA V1-21"
"{12B570B4-F7AF-41F6-86D4-83A5573EED2A}","T4-C-5","NA T4-5"
"{662B047A-411B-42F1-8F2F-E24602CBF350}","V1-C-1","NA V1-5"
"{662B047A-411B-42F1-8F2F-E24602CBF350}","V1-C-1","NA V1-2"
"{662B047A-411B-42F1-8F2F-E24602CBF350}","V1-C-1","NA V1-3"
"{662B047A-411B-42F1-8F2F-E24602CBF350}","V1-C-1","NA V1-1"
"{662B047A-411B-42F1-8F2F-E24602CBF350}","V1-C-1","NA V1-4"
"{F003E630-94CD-4FFF-839B-772299BF697A}","V1-C-1","NA V1-5"
"{F003E630-94CD-4FFF-839B-772299BF697A}","V1-C-1","NA V1-2"
"{F003E630-94CD-4FFF-839B-772299BF697A}","V1-C-1","NA V1-3"
"{F003E630-94CD-4FFF-839B-772299BF697A}","V1-C-1","NA V1-1"
"{F003E630-94CD-4FFF-839B-772299BF697A}","V1-C-1","NA V1-4"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","V1-C-1","NA V1-5"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","V1-C-1","NA V1-2"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","V1-C-1","NA V1-3"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","V1-C-1","NA V1-1"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","V1-C-1","NA V1-4"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","V1-C-1","NA V1-5"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","V1-C-1","NA V1-2"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","V1-C-1","NA V1-3"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","V1-C-1","NA V1-1"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","V1-C-1","NA V1-4"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","V1-C-1","NA V1-5"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","V1-C-1","NA V1-2"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","V1-C-1","NA V1-3"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","V1-C-1","NA V1-1"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","V1-C-1","NA V1-4"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-2"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-5"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-1"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-7"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-3"
"{D331E117-DACA-4750-A198-028D1356340B}","V3-C-1","NA V3-4"
"{3A094E49-FDB7-4219-9D56-FFA94A7670D1}","T4-C-5","NA T4-5"
"{0708F482-BA9B-432C-9BE4-0A18AC3E19EA}","T4-C-5","NA T4-5"
"{E9C62BB1-E07C-468E-ADF0-6653DC0D71F0}","V1-C-5","NA V1-22"
"{E9C62BB1-E07C-468E-ADF0-6653DC0D71F0}","V1-C-5","NA V1-21"
"{A24A765B-A1B4-4AF7-A1B9-A4A3F61F6295}","T2-C-1","NA T2-1"
"{F793C8C1-C160-4F51-89E7-51AF1E1DC0EF}","V1-C-5","NA V1-22"
"{F793C8C1-C160-4F51-89E7-51AF1E1DC0EF}","V1-C-5","NA V1-21"
"{9A63D20E-0A4C-41BF-8924-7B7B81B4F8B8}","T4-C-9","NA T4-9"
"{5F2194C1-D35E-4CA7-A7FA-75BFA0F460F2}","T4-C-5","NA T4-5"
"{4000DBF0-4786-41BC-A2DB-60FCD2289D18}","T4-C-5","NA T4-5"
"{FD496202-8EFC-411A-A1B4-4919258F0630}","T4-C-5","NA T4-5"
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","V1-C-1","NA V1-5"
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","V1-C-1","NA V1-2"
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","V1-C-1","NA V1-3"
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","V1-C-1","NA V1-1"
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","V1-C-1","NA V1-4"
"{CCC71FF7-57C6-468E-889E-63B290A3C086}","V3-C-2","NA V3-6"
"{6E325FD4-CDD9-486E-92B9-E941289BD61D}","V3-C-2","NA V3-6"
"{387D0E15-EB32-4080-B750-18BB08006EF4}","V3-C-2","NA V3-6"
"{7733FE1D-1262-47E4-9902-7993C7C9AEB0}","T4-C-9","NA T4-9"
"{696EB366-510B-4FF1-893E-2BF33BB13822}","T4-C-5","NA T4-5"
"{E5D5B42C-B7FF-4E03-9971-8992238614FB}","T4-C-1","NA T4-1"
"{67BECF0E-AA0C-4413-8D9D-34F1662D4AC9}","T2-C-1","NA T2-1"
"{7ED881E4-BC9C-4461-A98D-F7026E080F5C}","T4-C-4","NA T4-4"
"{068143B6-82FA-4BCC-81F4-AA2D6008CD29}","T4-C-5","NA T4-5"
"{B1B3BE64-D329-40E0-B8F7-AF3093120824}","V3-C-2","NA V3-6"
"{5B181D5C-903C-47B9-9DC7-A682A00682B0}","T4-C-5","NA T4-5"
"{D7BFE943-8527-4DE1-B48C-7E258611FC30}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001063}","V1-C-6","NA V1-24"
"{01231911-0876-0101-2ABC-000000001063}","V1-C-6","NA V1-23"
"{01231911-0876-0101-2ABC-000000001064}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001065}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001066}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001067}","V1-C-5","NA V1-22"
"{01231911-0876-0101-2ABC-000000001067}","V1-C-5","NA V1-21"
"{01231911-0876-0101-2ABC-000000001068}","V2-C-1","NA V2-2"
"{01231911-0876-0101-2ABC-000000001068}","V2-C-1","NA V2-1"
